place,player,player_key,league,movement,country,points,download_time
1,Aryna Sabalenka,1989.0,WTA,same,World,10990,2026-02-10 02:49:37
2,Iga Swiatek,1910.0,WTA,same,Poland,7978,2026-02-10 02:49:37
3,Elena Rybakina,2172.0,WTA,same,Kazakhstan,7523,2026-02-10 02:49:37
4,Amanda Anisimova,2074.0,WTA,same,USA,6680,2026-02-10 02:49:37
5,Coco Gauff,2176.0,WTA,same,USA,6423,2026-02-10 02:49:37
6,Jessica Pegula,2171.0,WTA,same,USA,6103,2026-02-10 02:49:37
7,Mirra Andreeva,9534.0,WTA,same,World,4731,2026-02-10 02:49:37
8,Jasmine Paolini,2811.0,WTA,same,Italy,4267,2026-02-10 02:49:37
9,Elina Svitolina,2816.0,WTA,down,Ukraine,3205,2026-02-10 02:49:37
10,Ekaterina Alexandrova,2392.0,WTA,down,World,3200,2026-02-10 02:49:37
11,Belinda Bencic,2387.0,WTA,up,Switzerland,2843,2026-02-10 02:49:37
12,Linda Noskova,447.0,WTA,same,Czech Republic,2626,2026-02-10 02:49:37
13,Victoria Mboko,9527.0,WTA,same,Canada,2606,2026-02-10 02:49:37
14,Clara Tauson,3007.0,WTA,down,Denmark,2530,2026-02-10 02:49:37
15,Naomi Osaka,2685.0,WTA,up,Japan,2366,2026-02-10 02:49:37
16,Madison Keys,2692.0,WTA,up,USA,2351,2026-02-10 02:49:37
17,Liudmila Samsonova,2815.0,WTA,down,World,2116,2026-02-10 02:49:37
18,Emma Navarro,2823.0,WTA,up,USA,2095,2026-02-10 02:49:37
19,Karolina Muchova,2807.0,WTA,same,Czech Republic,2058,2026-02-10 02:49:37
20,Iva Jovic,58226.0,WTA,same,USA,2031,2026-02-10 02:49:37
21,Diana Shnaider,7403.0,WTA,same,World,1953,2026-02-10 02:49:37
22,Elise Mertens,521.0,WTA,same,Belgium,1936,2026-02-10 02:49:37
23,Marta Kostyuk,1828.0,WTA,same,Ukraine,1863,2026-02-10 02:49:37
24,Jelena Ostapenko,2802.0,WTA,same,Latvia,1860,2026-02-10 02:49:37
25,Emma Raducanu,2996.0,WTA,down,United Kingdom,1700,2026-02-10 02:49:37
26,Qinwen Zheng,1813.0,WTA,same,China,1658,2026-02-10 02:49:37
27,Leylah Fernandez,2394.0,WTA,up,Canada,1653,2026-02-10 02:49:37
28,Anna Kalinskaya,1820.0,WTA,up,World,1575,2026-02-10 02:49:37
29,Sofia Kenin,2904.0,WTA,up,USA,1567,2026-02-10 02:49:37
30,Maya Joint,52689.0,WTA,up,Australia,1549,2026-02-10 02:49:37
31,Sorana Cirstea,1150.0,WTA,down,Romania,1499,2026-02-10 02:49:37
32,McCartney Kessler,22072.0,WTA,same,USA,1476,2026-02-10 02:49:37
33,Xinyu Wang,1812.0,WTA,same,China,1383,2026-02-10 02:49:37
34,Lois Boisson,8802.0,WTA,same,France,1349,2026-02-10 02:49:37
35,Marketa Vondrousova,2814.0,WTA,up,Czech Republic,1338,2026-02-10 02:49:37
36,Jaqueline Cristian,2992.0,WTA,up,Romania,1307,2026-02-10 02:49:37
37,Marie Bouzkova,2820.0,WTA,same,Czech Republic,1285,2026-02-10 02:49:37
38,Sara Bejlek,9393.0,WTA,down,Czech Republic,1277,2026-02-10 02:49:37
39,Hailey Baptiste,490.0,WTA,down,USA,1264,2026-02-10 02:49:37
40,Alexandra Eala,3490.0,WTA,down,Philippines,1244,2026-02-10 02:49:37
41,Ann Li,2997.0,WTA,same,USA,1243,2026-02-10 02:49:37
42,Dayana Yastremska,2813.0,WTA,down,Ukraine,1225,2026-02-10 02:49:37
43,Veronika Kudermetova,2810.0,WTA,up,World,1214,2026-02-10 02:49:37
44,Katerina Siniakova,3006.0,WTA,up,Czech Republic,1207,2026-02-10 02:49:37
45,Jessica Bouzas Maneiro,154.0,WTA,up,Spain,1202,2026-02-10 02:49:37
46,Janice Tjen,28551.0,WTA,down,Indonesia,1185,2026-02-10 02:49:37
47,Magda Linette,1154.0,WTA,up,Poland,1179,2026-02-10 02:49:37
48,Tereza Valentova,8976.0,WTA,up,Czech Republic,1175,2026-02-10 02:49:37
49,Emiliana Arango,1802.0,WTA,up,Colombia,1142,2026-02-10 02:49:37
50,Sonay Kartal,1961.0,WTA,down,United Kingdom,1112,2026-02-10 02:49:37
51,Laura Siegemund,464.0,WTA,up,Germany,1111,2026-02-10 02:49:37
52,Maria Sakkari,2076.0,WTA,up,Greece,1110,2026-02-10 02:49:37
53,Barbora Krejcikova,2801.0,WTA,up,Czech Republic,1091,2026-02-10 02:49:37
54,Tatjana Maria,2414.0,WTA,same,Germany,1089,2026-02-10 02:49:37
55,Peyton Stearns,2827.0,WTA,up,USA,1078,2026-02-10 02:49:37
56,Cristina Bucsa,454.0,WTA,down,Spain,1069,2026-02-10 02:49:37
57,Elisabetta Cocciaretto,477.0,WTA,up,Italy,1063,2026-02-10 02:49:37
58,Eva Lys,2088.0,WTA,down,Germany,1043,2026-02-10 02:49:37
59,Magdalena Frech,2089.0,WTA,down,Poland,1033,2026-02-10 02:49:37
60,Elsa Jacquemot,1823.0,WTA,up,France,1031,2026-02-10 02:49:37
61,Daria Kasatkina,1990.0,WTA,down,Australia,997,2026-02-10 02:49:37
62,Solana Sierra,140.0,WTA,down,Argentina,987,2026-02-10 02:49:37
63,Anna Bondar,505.0,WTA,down,Hungary,978,2026-02-10 02:49:37
64,Paula Badosa,2178.0,WTA,down,Spain,966,2026-02-10 02:49:37
65,Francesca Jones,2991.0,WTA,down,United Kingdom,938,2026-02-10 02:49:37
66,Antonia Ruzic,168.0,WTA,down,Croatia,933,2026-02-10 02:49:37
67,Beatriz Haddad Maia,1951.0,WTA,down,Brazil,932,2026-02-10 02:49:37
68,Caty McNally,1127.0,WTA,down,USA,928,2026-02-10 02:49:37
69,Petra Marcinko,1143.0,WTA,same,Croatia,912,2026-02-10 02:49:37
70,Yulia Putintseva,2177.0,WTA,same,Kazakhstan,909,2026-02-10 02:49:37
71,Oleksandra Oliynykova,12876.0,WTA,down,Ukraine,894,2026-02-10 02:49:37
72,Gabriela Ruse Elena,1151.0,WTA,same,Romania,892,2026-02-10 02:49:37
73,Varvara Gracheva,1913.0,WTA,same,France,887,2026-02-10 02:49:37
74,Ajla Tomljanovic,1146.0,WTA,same,Australia,881,2026-02-10 02:49:37
75,Oksana Selekhmeteva,478.0,WTA,down,World,878,2026-02-10 02:49:37
76,Anastasia Potapova,457.0,WTA,up,Austria,872,2026-02-10 02:49:37
77,Alycia Parks,1792.0,WTA,down,USA,872,2026-02-10 02:49:37
